Step Number,Step Text,Duration,Description,Comment
1,75% Ethanol,0:30:00,Room Temperature,
2,80% Ethanol,0:30:00,Room Temperature,
3,95% Ethanol - 1,0:30:00,Room Temperature,
4,95% Ethanol - 2,0:30:00,Room Temperature,
5,100% Ethanol - 1,0:45:00,Room Temperature,
6,100% Ethanol - 2,0:50:00,Room Temperature,
7,100% Ethanol - 3,1:00:00,Room Temperature,
8,Xylene - 1,0:30:00,Room Temperature,
9,Xylene - 2,0:30:00,Room Temperature,
10,Xylene - 3,0:40:00,Room Temperature,
11,Xylene - 4,1:00:00,Room Temperature,
12,Paraffin - 1,0:30:00,60C,
13,Paraffin - 2,1:00:00,60C,
14,Paraffin - 3,1:30:00,60C,
